,Series6_A549-ACE2_Mock_1,Series6_A549-ACE2_Mock_2,Series6_A549-ACE2_Mock_3,Series6_A549-ACE2_SARS-CoV-2_1,Series6_A549-ACE2_SARS-CoV-2_2,Series6_A549-ACE2_SARS-CoV-2_3,Series16_A549-ACE2_Mock_1,Series16_A549-ACE2_Mock_2,Series16_A549-ACE2_Mock_3,Series16_A549-ACE2_SARS-CoV-2_1,Series16_A549-ACE2_SARS-CoV-2_2,Series16_A549-ACE2_SARS-CoV-2_3
IAPP,1,0,0,0,0,0,1,0,0,1,2,0
PYROXD1,74,5,36,15,12,6,18,53,41,26,51,52
RECQL,862,88,523,126,32,34,119,545,376,103,122,112
GOLT1B,648,85,422,288,87,72,141,661,534,219,292,347
GYS2,15,3,5,2,1,3,0,9,4,3,5,15
LDHB,24284,1986,14669,2788,920,828,2941,14842,12020,1365,1443,1293
KCNJ8,3,0,4,0,2,0,2,4,6,0,3,1
ABCC9,0,0,0,0,0,0,0,1,4,0,0,2
CMAS,776,88,518,122,57,45,111,473,416,59,62,71
ST8SIA1,0,0,0,0,0,0,0,2,1,0,0,0
C2CD5,405,27,179,107,30,28,57,254,230,96,88,101
ETNK1,1057,147,707,474,135,129,170,808,758,212,301,294
SOX5,0,0,0,0,0,0,0,0,0,0,0,0
MIR920,0,0,0,0,0,0,0,0,0,0,0,0
LINC00477,0,0,0,0,0,0,0,0,0,0,0,0
BCAT1,538,58,341,69,23,29,71,383,295,38,39,44
C12orf77,0,0,0,0,0,0,0,0,0,0,0,0
LRMP,0,0,0,0,0,0,0,2,1,1,0,1
CASC1,2,0,3,1,2,0,1,4,1,5,4,6
KRAS,666,69,367,223,75,60,105,489,416,292,295,386
MIR4302,0,0,0,0,0,0,0,0,0,0,0,0
RASSF8,81,9,47,94,16,21,33,165,128,200,208,248
BHLHE41,20,2,11,158,33,43,9,26,25,406,457,560
SSPN,2,0,0,0,0,2,1,11,7,2,3,2
ITPR2,216,19,101,42,10,5,31,226,123,70,86,76
FGFR1OP2,423,44,266,220,54,47,70,323,277,267,325,394
TM7SF3,5418,511,3443,862,282,260,587,2839,2279,304,350,270
MED21,301,34,252,131,43,34,46,215,185,130,112,153
C12orf71,0,0,0,0,0,0,0,1,0,0,0,0
STK38L,597,84,340,177,58,45,110,613,461,326,339,390
ARNTL2,706,81,451,157,25,24,110,626,414,271,309,302
PPFIBP1,1485,145,812,215,54,55,168,850,655,298,333,349
REP15,11,0,1,2,0,0,0,4,4,1,2,0
MRPS35,2108,209,1236,357,114,117,252,1311,1158,298,274,306
MANSC4,0,0,0,0,0,0,1,0,1,1,0,0
KLHL42,707,78,432,125,44,29,115,580,427,100,111,122
PTHLH,327,29,181,55,17,13,43,144,93,55,57,60
CCDC91,347,46,208,79,33,30,84,360,309,97,105,91
FAR2,2,0,0,0,0,0,2,14,18,5,6,6
ERGIC2,876,90,430,165,49,61,162,702,501,189,232,257
OVCH1,0,0,0,0,0,0,0,0,0,0,0,0
TMTC1,2,0,1,1,0,0,0,1,2,0,1,0
IPO8,705,65,393,116,43,41,76,402,326,89,99,92
CAPRIN2,502,42,292,108,30,36,76,457,304,277,350,282
TSPAN11,1,1,0,0,0,0,0,11,5,0,0,0
DDX11-AS1,5,0,6,1,0,1,0,4,3,1,0,1
DDX11,701,71,495,196,54,42,70,328,248,197,166,167
FLJ13224,4,0,1,3,1,0,1,0,4,1,0,0
DENND5B,1385,129,812,272,79,66,167,667,540,178,165,183
DENND5B-AS1,8,0,3,0,1,0,0,2,5,3,2,2
AMN1,173,11,110,40,10,3,15,97,65,25,32,36
H3F3C,17,2,11,4,0,3,2,15,12,10,7,7
KIAA1551,2239,212,1289,479,136,129,141,778,611,308,299,303
BICD1,276,35,166,76,14,23,30,197,119,59,62,78
FGD4,184,16,77,46,7,12,16,97,113,41,42,55
DNM1L,1150,118,675,271,89,82,264,1125,879,403,407,392
YARS2,589,60,361,139,44,34,46,272,223,145,136,138
PKP2,305,34,204,46,18,14,88,293,241,50,47,51
SYT10,0,0,0,0,0,0,0,0,0,0,0,0
ALG10,31,13,13,5,5,5,7,32,38,7,7,8
ALG10B,100,10,59,28,12,9,20,112,81,22,23,42
CPNE8,549,62,388,185,42,41,78,333,309,112,137,142
KIF21A,1952,140,1027,488,121,144,223,1058,790,451,465,527
ABCD2,2,0,0,0,0,0,0,0,0,0,0,0
C12orf40,0,0,0,0,0,0,0,0,0,0,0,0
SLC2A13,160,15,103,40,12,17,30,174,125,53,49,49
LRRK2,720,71,439,165,46,37,99,311,259,92,73,55
CNTN1,8884,825,5272,1281,424,437,1116,4807,4025,327,351,318
PDZRN4,0,0,0,0,0,0,0,0,1,0,0,0
GXYLT1,1030,101,592,315,82,86,136,787,572,251,275,314
YAF2,206,35,134,137,45,52,40,199,165,185,240,289
ZCRB1,452,46,258,76,26,20,83,344,272,78,77,94
PPHLN1,1356,114,799,303,78,83,181,843,673,390,414,460
PRICKLE1,246,31,122,61,13,12,20,85,81,29,31,25
ADAMTS20,0,0,0,0,0,0,0,0,1,1,0,0
PUS7L,157,18,80,45,19,8,26,165,85,29,32,35
IRAK4,114,8,76,18,4,11,36,148,114,54,50,62
TWF1,1505,160,960,330,110,94,235,1155,962,300,381,396
TMEM117,114,6,75,16,3,8,15,87,68,17,19,16
NELL2,3,1,2,0,0,0,2,3,6,0,1,0
DBX2,0,0,0,0,0,0,0,0,0,0,0,0
RACGAP1P,0,0,0,0,0,0,0,0,0,0,0,0
PLEKHA8P1,114,10,76,15,3,1,10,64,54,15,19,24
RNY5,0,0,0,0,0,0,0,0,0,0,0,0
ANO6,3028,314,1839,359,104,105,492,2552,2014,713,784,890
ARID2,627,73,385,350,109,82,113,451,412,311,384,352
SCAF11,1789,165,962,483,134,157,329,1452,1135,756,742,789
SLC38A1,3890,415,2428,728,198,239,677,3523,2712,616,578,658
SLC38A2,7106,703,4294,1870,556,508,1162,5954,4586,2618,2637,3009
SLC38A4,1,0,0,11,0,2,0,1,0,13,10,15
AMIGO2,6619,657,4352,2146,582,540,735,3488,3446,2346,2309,2262
MIR4698,0,0,0,0,0,0,0,0,0,0,0,0
PCED1B-AS1,9,1,6,6,0,0,0,2,3,1,2,1
PCED1B,1121,106,847,284,86,50,159,711,691,377,414,374
RPAP3,1005,107,592,191,74,69,139,594,440,188,188,166
ENDOU,4,0,0,0,1,0,1,0,1,0,1,2
RAPGEF3,23,5,10,2,2,2,1,4,6,2,4,1
SLC48A1,1217,139,939,221,62,34,136,756,590,52,63,56
HDAC7,885,78,617,191,55,27,92,468,407,167,126,150
VDR,32,5,23,28,7,3,16,72,46,98,110,108
TMEM106C,906,86,637,190,29,43,191,1097,712,133,158,148
COL2A1,1,0,3,35,5,5,0,2,2,23,29,32
SENP1,232,20,140,104,24,22,29,161,128,118,138,118
PFKM,1937,178,1373,412,99,82,187,892,703,147,190,154
ASB8,281,22,222,65,21,31,41,166,141,51,62,69
OR10AD1,0,0,0,0,0,0,0,5,4,2,0,1
H1FNT,0,0,0,0,0,0,0,1,1,7,1,2
ZNF641,266,15,165,158,21,43,40,203,165,215,221,223
ANP32D,0,0,0,0,0,0,0,0,1,0,0,0
C12orf54,0,0,0,0,0,0,0,0,0,0,0,0
OR8S1,0,0,0,0,0,0,0,2,1,0,3,0
LALBA,0,0,0,0,0,0,0,0,0,0,0,0
KANSL2,684,49,354,231,61,75,73,385,336,298,306,264
MIR1291,0,0,0,2,0,0,0,1,0,0,0,0
SNORA2A,2,0,2,4,0,0,0,0,1,0,1,1
SNORA2B,5,0,2,0,1,1,0,1,0,1,0,0
CCNT1,988,91,540,682,169,185,166,882,625,1176,1248,1331
ADCY6,808,69,573,162,58,39,110,594,484,115,146,112
MIR4701,1,0,1,0,0,0,0,0,0,0,0,0
CACNB3,99,18,97,25,7,8,31,133,109,55,35,56
DDX23,3021,264,1965,602,164,157,348,1690,1390,512,449,472
RND1,291,30,203,126,30,18,38,143,144,230,238,208
CCDC65,6,2,0,0,0,2,6,11,15,9,9,8
FKBP11,262,15,172,72,23,15,32,129,99,43,53,42
ARF3,4323,412,3056,809,238,218,480,2030,1760,390,400,334
WNT10B,24,5,21,12,4,0,4,13,11,6,7,8
WNT1,0,0,2,0,0,0,0,2,0,1,0,0
DDN,11,0,5,4,1,0,2,15,10,12,15,16
PRKAG1,911,74,570,128,28,42,119,417,372,88,88,86
RHEBL1,19,1,9,10,4,1,4,12,11,20,31,17
DHH,2,0,0,0,0,0,0,0,0,0,0,0
LMBR1L,278,27,255,76,23,27,38,210,160,56,59,60
TUBA1B,11374,1016,7869,1250,391,368,1765,9508,7627,953,1010,855
TUBA1A,4786,412,3483,391,140,107,1413,5835,5359,785,859,858
TUBA1C,6799,652,4971,1247,359,288,804,4107,3621,1514,1504,1520
PRPH,2,0,0,0,3,1,1,13,7,2,1,6
TROAP,44,4,30,9,6,0,5,21,14,3,8,9
C1QL4,8,0,9,1,0,2,3,14,17,2,12,5
DNAJC22,431,37,242,71,14,15,47,282,225,41,35,37
SPATS2,1394,137,867,234,82,76,190,884,727,224,228,224
LOC100335030,19,0,3,2,1,0,5,7,6,10,16,18
KCNH3,45,8,19,20,2,3,10,50,34,21,15,20
MCRS1,1152,85,851,225,50,44,98,504,497,110,122,97
FAM186B,3,0,5,0,0,0,1,9,5,2,2,4
PRPF40B,429,27,309,142,17,24,16,66,61,25,21,22
FMNL3,7,0,6,9,0,0,6,29,23,14,17,15
TMBIM6,17132,1531,11705,1723,548,467,2483,12111,9236,1837,1930,1917
NCKAP5L,503,49,339,154,46,29,51,220,138,75,74,86
BCDIN3D-AS1,29,2,20,10,1,2,4,11,11,8,5,5
BCDIN3D,133,19,92,42,7,16,5,24,22,17,26,14
FAIM2,0,0,0,0,0,0,0,1,1,0,0,0
AQP2,0,0,0,0,0,0,0,0,0,0,0,0
AQP5,0,0,1,0,0,0,0,0,0,0,1,0
AQP6,4,0,0,0,0,0,0,1,3,0,0,0
RACGAP1,252,14,197,44,13,18,55,198,156,43,37,61
ASIC1,199,13,130,49,10,13,15,65,53,12,7,18
SMARCD1,1819,135,1178,460,124,105,199,875,761,284,279,244
GPD1,17,1,19,2,1,0,2,6,5,0,1,3
COX14,686,57,515,90,32,29,99,426,366,37,31,38
CERS5,1251,87,695,171,54,61,106,564,484,111,98,95
LIMA1,1941,163,1177,214,64,70,58,259,229,77,91,74
MIR1293,0,0,0,0,0,0,0,0,0,0,0,0
FAM186A,0,0,0,1,0,0,0,0,0,0,0,0
LARP4,1902,222,1092,668,170,186,296,1574,1215,541,621,673
DIP2B,1609,159,916,304,98,63,165,768,592,285,266,249
ATF1,327,44,188,122,41,33,55,213,190,121,138,134
TMPRSS12,0,0,0,0,0,0,0,0,0,0,1,0
METTL7A,19,0,10,2,1,2,0,1,1,0,0,0
HIGD1C,0,0,0,0,0,0,0,0,0,0,0,0
SLC11A2,741,87,530,234,52,56,96,557,450,195,204,202
LETMD1,490,29,327,111,34,31,62,253,214,72,96,103
CSRNP2,352,32,251,105,32,30,57,305,226,164,154,136
TFCP2,848,70,487,169,51,43,89,382,281,100,76,85
POU6F1,20,1,8,2,3,1,4,19,18,6,9,9
DAZAP2,944,93,649,376,108,85,194,701,679,640,677,703
SMAGP,110,10,98,35,8,13,11,46,43,18,16,12
BIN2,6,3,3,0,0,0,1,4,2,1,0,1
CELA1,0,0,0,0,0,0,0,0,0,0,0,0
GALNT6,26,3,36,10,1,1,8,36,21,13,15,8
SLC4A8,28,5,17,2,2,1,5,10,8,2,4,3
SCN8A,96,10,53,12,7,5,19,78,58,33,37,16
FIGNL2,33,3,16,16,5,1,1,8,11,8,7,8
ANKRD33,0,0,0,0,0,0,0,0,0,0,0,0
ACVRL1,4,0,1,0,0,0,0,4,3,4,2,2
ACVR1B,641,57,505,158,42,59,70,348,256,102,91,109
GRASP,13,0,11,5,0,0,0,2,1,2,3,7
NR4A1,352,40,306,1022,212,144,20,165,121,347,312,372
KRT80,3691,352,2589,523,134,107,245,1291,1232,435,448,407
LINC00592,10,0,6,2,0,3,0,4,3,0,1,0
KRT7,26348,2732,21663,4182,1271,991,2853,14089,12786,3838,4345,4129
KRT81,42249,4179,34444,6456,1998,1654,1248,6208,5338,861,1001,899
KRT86,1160,75,782,148,31,26,36,238,209,26,25,27
KRT83,21,1,26,3,3,0,0,8,10,0,1,0
KRT85,1,1,0,0,0,0,0,0,0,0,0,0
KRT84,0,0,0,0,0,0,0,0,0,0,0,0
KRT82,0,0,0,0,0,0,0,0,0,0,0,0
KRT75,0,0,0,0,0,0,0,0,0,1,2,0
KRT6B,1,0,0,0,0,0,0,0,2,0,0,0
KRT6C,0,0,0,0,0,0,0,0,0,0,0,0
KRT6A,0,0,0,0,0,0,1,0,1,0,1,4
KRT5,0,0,0,0,0,0,0,0,0,1,1,0
KRT71,0,0,0,0,0,0,0,0,0,0,0,0
KRT74,0,0,0,0,0,0,0,0,0,0,0,0
KRT72,0,0,0,0,0,0,0,0,0,0,0,0
KRT73,0,0,0,0,0,0,0,0,0,0,0,0
KRT2,0,0,0,0,0,0,0,1,0,0,0,0
KRT1,0,0,0,0,0,0,0,0,0,0,0,0
KRT77,0,0,1,1,0,0,0,0,0,0,0,0
KRT76,0,0,0,0,0,0,0,0,0,0,0,0
KRT3,5,1,1,2,0,0,0,0,0,0,0,0
KRT4,477,51,356,17,10,8,25,86,106,1,1,3
KRT79,1,0,2,0,0,0,0,1,0,0,0,0
KRT78,1,0,3,0,0,0,0,0,0,0,0,1
KRT8,99542,9884,73552,23132,6688,5586,9241,40061,38427,5563,5038,3915
KRT18,64630,5621,42770,16340,4950,4098,5583,22857,23026,3499,3120,2345
EIF4B,11923,1034,6900,2700,751,764,1135,4921,4323,1694,1777,1952
LOC283335,59,3,34,6,6,2,5,13,24,5,5,8
SPRYD3,624,64,443,85,31,29,53,321,187,58,62,67
IGFBP6,2699,326,2173,260,94,67,234,952,931,102,108,102
SOAT2,5,0,4,1,0,0,0,3,0,0,2,2
CSAD,253,23,181,76,18,22,21,112,102,32,35,41
ZNF740,1046,105,660,323,83,54,100,490,391,185,199,185
ITGB7,7,1,3,2,1,0,1,6,4,3,0,2
RARG,315,24,222,74,28,17,46,176,167,51,48,43
MFSD5,941,70,672,234,96,61,116,485,446,113,95,115
ESPL1,61,3,42,22,7,10,6,50,33,40,49,35
PFDN5,4709,396,3208,1006,238,256,600,2638,2229,459,540,522
C12orf10,906,92,763,163,60,35,121,422,410,78,91,70
AAAS,1127,111,877,202,62,51,137,496,470,107,109,78
SP7,1,0,0,0,0,0,0,0,0,1,0,0
SP1,1728,162,1061,671,150,163,185,928,710,550,576,547
AMHR2,9,2,5,1,0,0,2,6,0,3,3,6
PRR13,2530,256,1757,350,102,89,278,1282,1233,184,184,164
PCBP2,5484,512,3623,1054,276,269,841,4199,3215,1014,1080,968
MAP3K12,1255,121,829,412,113,72,94,428,357,203,219,203
TARBP2,1028,108,839,273,61,54,85,383,316,67,53,66
NPFF,10,2,4,7,1,2,1,10,8,6,1,4
ATF7,808,63,482,152,38,40,69,226,182,85,89,71
LOC100652999,0,0,0,0,0,0,0,0,1,0,0,1
CALCOCO1,962,65,630,196,46,53,115,420,391,103,112,103
HOXC13,401,30,276,128,40,31,34,133,153,99,93,83
HOXC12,0,0,0,0,0,0,0,0,0,0,0,0
HOTAIR,5,1,2,0,0,0,2,6,2,1,1,1
HOXC11,2,0,4,2,0,1,3,13,8,9,6,5
HOXC10,33,3,34,9,4,2,5,14,18,20,23,29
MIR196A2,0,0,0,0,0,0,0,0,0,0,0,0
HOXC9,94,7,45,15,9,15,9,51,45,21,22,27
HOXC8,32,3,13,3,2,6,5,33,27,19,28,33
HOXC4,5,1,9,2,1,0,4,17,15,7,3,6
HOXC5,1,1,6,3,1,0,1,5,1,1,1,1
HOXC6,37,4,20,9,5,1,12,35,33,17,20,16
MIR615,0,0,0,0,0,0,0,0,0,0,0,0
FLJ12825,1,0,0,0,0,0,2,8,8,4,0,6
LOC100240735,1,0,0,0,0,0,0,1,2,1,1,0
LOC100240734,0,0,0,0,0,0,0,0,0,0,0,0
SMUG1,377,35,294,54,22,22,44,166,162,36,32,28
CBX5,2353,231,1433,442,142,130,367,1672,1223,502,504,538
MIR3198-2,0,0,0,0,0,0,0,0,0,0,0,0
HNRNPA1,190,34,140,74,18,27,40,174,181,59,54,72
HNRNPA1P10,0,0,0,0,0,0,0,0,0,0,0,0
NFE2,0,0,2,3,0,0,1,3,2,6,2,4
COPZ1,5486,513,3676,1005,308,316,576,2633,2235,516,502,507
MIR148B,0,0,0,0,0,0,0,0,0,0,0,0
GPR84,0,0,0,0,0,0,2,0,1,3,5,3
ZNF385A,732,74,571,149,45,35,80,398,264,225,291,250
ITGA5,1999,183,1447,321,81,51,718,3477,3009,1026,1246,1276
GTSF1,0,0,0,0,0,0,0,1,0,0,0,0
NCKAP1L,5,0,0,0,0,0,0,6,1,0,0,3
PDE1B,1,0,0,0,2,0,1,3,0,0,0,1
PPP1R1A,2,1,0,0,0,0,0,1,2,0,0,0
GLYCAM1,0,0,0,0,0,0,0,0,0,0,0,0
LACRT,0,0,0,0,0,0,0,0,0,0,0,0
DCD,0,0,0,0,0,0,0,0,0,0,0,0
MUCL1,0,0,0,0,0,0,0,0,0,0,0,0
TESPA1,0,0,0,0,0,0,0,0,0,0,0,0
NEUROD4,0,0,0,0,0,0,0,0,0,1,1,0
OR9K2,0,0,0,0,0,0,0,0,0,0,0,0
OR10A7,0,0,0,0,0,0,0,0,0,0,0,0
OR6C74,0,0,0,0,0,0,0,0,0,0,0,0
OR6C6,0,0,0,0,0,0,0,0,0,0,0,0
OR6C1,0,0,0,0,0,0,0,0,0,0,0,0
OR6C3,0,0,0,0,0,0,0,0,0,0,0,0
OR6C75,0,0,0,0,0,0,0,0,0,0,0,0
OR6C65,0,0,0,0,0,0,0,0,0,0,0,0
OR6C76,0,0,0,0,0,0,0,0,0,0,0,0
OR6C2,0,0,0,0,0,0,0,0,0,0,0,0
OR6C70,0,0,0,0,0,0,0,0,0,0,0,0
OR6C68,0,0,0,0,0,0,0,0,0,0,0,0
OR6C4,0,0,0,0,0,0,0,0,0,0,0,0
OR2AP1,0,0,0,0,0,0,0,0,0,0,0,0
OR10P1,0,0,0,0,0,0,0,0,0,0,0,0
METTL7B,107,9,90,13,5,6,13,50,44,7,2,1
ITGA7,12,0,11,12,2,1,6,37,18,9,13,20
BLOC1S1,58,8,102,6,1,6,15,65,67,14,13,15
BLOC1S1-RDH5,0,0,0,0,0,0,0,0,0,0,0,0
RDH5,8,2,6,1,0,0,0,3,6,1,1,0
CD63,8911,795,5948,1094,322,280,1027,4335,3994,691,752,734
GDF11,127,12,111,36,10,8,34,113,62,22,22,17
SARNP,1187,117,636,240,53,74,122,621,506,451,592,581
ORMDL2,1148,89,747,173,47,43,99,469,450,62,88,71
DNAJC14,1000,88,624,247,56,42,123,601,472,227,207,165
TMEM198B,261,26,232,70,14,11,14,76,96,30,23,19
MMP19,16,1,8,0,0,3,1,6,1,4,1,3
DGKA,960,79,583,139,26,52,97,445,358,101,98,87
PMEL,24,0,11,1,3,5,0,14,2,4,4,5
CDK2,363,31,262,100,11,20,94,499,335,90,118,64
RAB5B,2123,205,1391,333,103,81,200,959,785,270,281,230
SUOX,335,21,219,48,15,19,34,115,96,22,31,24
IKZF4,53,1,30,28,3,5,2,20,22,12,13,17
RPS26,3713,323,2757,400,148,157,358,1786,1524,190,190,169
ERBB3,329,27,208,70,19,18,29,112,95,61,49,44
PA2G4,8425,683,4917,1476,436,369,829,3858,3090,714,770,704
RPL41,8816,681,5170,1294,406,339,1565,5284,4055,829,973,962
ZC3H10,92,9,68,25,6,4,11,56,44,20,16,26
ESYT1,3357,298,2242,496,142,129,388,2053,1577,289,252,219
MYL6B,950,71,579,237,55,63,132,512,455,133,144,136
MYL6,30416,2371,19379,4182,1166,1131,3268,14013,12749,2398,2450,2288
SMARCC2,1585,135,977,302,101,77,207,897,661,206,182,194
RNF41,506,61,365,104,35,28,88,338,264,103,82,101
NABP2,455,31,301,96,20,22,65,251,211,57,42,47
SLC39A5,1,0,0,0,0,0,0,0,2,1,0,0
ANKRD52,7180,716,5315,1085,357,253,568,2534,2067,567,506,474
COQ10A,168,11,109,28,14,8,13,69,55,29,20,26
CS,3868,362,2666,680,198,181,387,2087,1550,385,379,317
CNPY2,1881,152,1218,330,82,80,193,1070,868,120,104,112
PAN2,498,48,344,123,36,21,58,285,267,100,102,102
IL23A,21,1,6,40,9,8,0,5,6,11,18,9
STAT2,390,30,287,124,23,30,54,252,209,920,813,730
APOF,0,0,0,0,0,0,0,0,0,2,0,0
TIMELESS,711,70,461,135,36,43,106,543,375,95,71,72
MIP,7,2,6,0,2,1,1,1,2,1,0,0
SPRYD4,497,35,295,101,26,18,27,123,117,36,27,30
GLS2,14,0,7,0,0,0,4,50,17,21,17,24
RBMS2,973,93,587,163,65,34,131,540,415,261,240,211
BAZ2A,3265,317,2095,783,248,197,320,1392,1218,776,793,664
SNORD59B,6,0,3,3,0,0,0,2,1,2,0,1
SNORD59A,4,0,0,0,3,0,0,0,0,2,2,1
PTGES3,4613,508,2684,1222,291,313,945,5414,4570,1324,1733,1841
NACA,12157,1022,6760,2020,559,657,1539,7296,6430,1764,2087,2214
PRIM1,76,4,39,10,2,6,17,101,60,19,10,14
HSD17B6,31,2,30,2,0,0,3,23,22,1,2,2
SDR9C7,8,0,1,5,0,0,0,0,1,0,0,1
RDH16,10,1,10,1,1,1,1,0,0,0,1,0
GPR182,0,0,0,0,0,0,0,0,0,0,0,0
ZBTB39,367,31,194,112,28,28,38,173,129,102,96,86
TAC3,0,1,2,4,1,0,1,3,2,1,3,5
MYO1A,61,5,24,7,1,0,2,9,7,2,3,3
NAB2,40,7,51,27,11,7,10,86,51,47,63,63
STAT6,3041,299,2148,546,142,137,351,1482,1350,471,472,413
LRP1,2090,216,1436,280,83,57,442,2092,1451,365,388,406
MIR1228,0,0,0,0,0,0,0,0,0,0,0,0
NXPH4,16,2,16,4,0,2,4,21,7,1,4,6
SHMT2,2158,211,1517,373,127,79,262,1465,1157,273,304,263
NDUFA4L2,10,1,17,0,0,0,2,11,7,2,0,2
STAC3,11,2,6,7,4,0,5,12,17,13,16,18
R3HDM2,470,55,375,159,42,39,67,376,320,142,122,113
INHBC,0,0,0,0,0,0,0,0,0,2,0,1
INHBE,0,0,2,1,0,0,2,17,11,11,6,3
GLI1,78,6,49,31,9,8,16,53,44,21,27,22
ARHGAP9,5,2,5,4,0,0,0,5,3,4,2,1
MARS,3880,358,2662,621,171,191,404,2021,1606,428,468,437
DDIT3,274,31,179,780,195,200,59,292,234,811,867,911
MBD6,653,62,456,273,65,49,58,296,214,141,203,177
DCTN2,2648,256,1677,423,148,132,311,1199,1066,301,349,265
KIF5A,12,0,2,5,2,2,6,15,10,11,18,6
PIP4K2C,828,75,603,253,48,62,111,572,396,182,172,194
DTX3,229,25,166,80,18,14,35,142,171,92,87,93
ARHGEF25,101,5,73,40,3,6,18,75,56,50,49,36
SLC26A10,8,1,9,6,0,1,22,168,102,26,23,19
B4GALNT1,670,67,510,155,44,25,82,347,234,38,47,44
OS9,2609,255,1742,440,120,118,478,2269,1751,365,324,269
AGAP2,9,0,3,6,1,0,2,10,5,5,4,2
TSPAN31,465,38,339,135,22,28,48,262,254,148,155,175
CDK4,3188,298,2271,841,252,203,399,2035,1781,522,578,517
09-Mar,153,16,89,54,14,14,18,103,98,34,32,32
CYP27B1,74,6,45,34,5,4,6,30,32,9,8,17
METTL1,366,37,225,83,24,19,18,117,106,29,23,27
TSFM,877,86,591,137,37,34,95,436,339,78,69,71
AVIL,6,1,0,8,1,0,3,21,24,27,18,25
CTDSP2,259,17,184,249,80,45,60,309,273,428,465,416
MIR26A2,0,0,0,0,0,0,0,0,0,0,0,0
LOC100506844,66,14,74,25,6,5,18,81,61,36,36,34
LRIG3,346,41,261,101,25,21,47,262,216,148,119,130
SLC16A7,29,5,23,8,4,7,9,48,35,6,8,10
FAM19A2,8,1,14,7,1,1,0,4,2,0,0,1
USP15,1419,157,780,659,153,187,211,979,720,831,896,887
MON2,1352,120,837,359,127,68,161,740,637,222,241,258
MIRLET7I,3,0,0,0,0,0,1,2,1,1,1,2
PPM1H,901,99,553,135,34,46,69,254,220,49,69,65
AVPR1A,4,1,1,0,2,0,0,3,2,1,1,0
DPY19L2,70,8,45,12,4,6,12,52,51,21,18,30
SRGAP1,995,89,686,222,57,52,134,508,430,267,218,220
C12orf66,220,24,144,47,18,14,33,116,88,50,35,33
C12orf56,0,0,0,0,0,0,0,0,0,0,1,0
XPOT,1784,161,1176,408,111,95,215,1098,854,276,285,277
TBK1,1092,108,645,535,133,124,170,850,629,821,871,989
RASSF3,1026,129,685,298,73,67,82,348,326,205,250,266
MIR548C,0,0,0,0,0,0,0,0,0,0,0,0
MIR548Z,0,0,0,0,0,0,0,0,0,0,0,0
GNS,3329,272,1937,410,135,106,430,2091,1614,279,249,209
TBC1D30,93,14,47,29,4,12,2,28,28,17,4,9
WIF1,0,0,0,0,0,0,0,1,0,0,0,0
LEMD3,391,43,236,171,44,54,56,261,220,163,184,186
MSRB3,996,96,580,138,39,30,101,452,393,76,76,69
RPSAP52,0,0,0,0,0,0,0,1,0,2,0,2
HMGA2,270,32,213,61,15,18,42,212,189,104,105,154
LLPH,757,63,370,178,28,47,92,399,314,165,170,187
TMBIM4,406,47,203,53,21,15,72,292,270,63,48,59
IRAK3,0,0,0,0,0,0,0,9,0,3,5,5
HELB,56,1,18,28,9,6,3,33,27,24,20,28
GRIP1,139,11,108,15,14,3,26,80,85,24,25,25
CAND1,2405,215,1382,568,162,145,415,2095,1552,583,607,629
DYRK2,331,32,212,140,34,26,63,366,260,215,198,259
IFNG,0,0,0,0,0,0,0,0,0,0,0,0
IL26,0,0,0,0,0,0,0,0,0,0,0,0
IL22,0,0,0,0,1,0,0,0,0,0,0,0
MDM1,103,10,55,33,5,12,25,101,66,24,30,28
RAP1B,1402,152,839,337,89,79,186,809,701,306,338,369
SNORA70G,0,0,0,0,0,0,0,0,0,0,0,0
LOC100507250,11,0,9,3,0,0,0,3,1,0,0,2
NUP107,671,55,426,165,30,44,126,614,464,192,190,187
SLC35E3,406,36,272,75,31,22,50,288,223,59,51,39
LOC100130075,0,0,0,1,0,0,0,0,1,1,0,0
MDM2,7973,910,4914,5134,1130,1043,996,5174,3602,2123,2217,2099
CPM,895,104,623,50,15,13,69,380,266,117,111,118
CPSF6,1350,159,873,358,115,93,184,954,723,408,421,457
MIR1279,0,0,0,0,0,0,0,0,0,0,0,0
LYZ,14,0,8,0,1,1,1,20,3,76,3,1
YEATS4,214,17,119,80,19,13,38,196,134,63,52,57
FRS2,543,54,311,555,156,136,81,452,300,943,1048,1249
MIR3913-1,0,0,0,0,0,0,0,0,0,0,0,0
MIR3913-2,0,0,0,0,0,0,0,0,0,0,0,0
CCT2,5281,444,3363,1004,292,267,803,4004,3060,1075,1230,1240
LRRC10,2,0,0,0,0,0,0,0,0,0,0,0
BEST3,35,1,12,0,1,0,0,6,3,12,7,3
RAB3IP,232,14,110,54,23,24,54,238,203,135,142,165
CNOT2,993,105,633,236,56,44,165,724,566,401,446,471
KCNMB4,8,1,7,7,1,1,6,15,10,4,6,7
PTPRB,11,0,2,1,0,0,14,52,67,10,13,11
PTPRR,10,0,8,1,1,1,2,2,3,4,3,5
TSPAN8,151,14,108,13,2,6,11,31,36,5,4,1
LGR5,0,0,0,0,0,0,1,0,0,2,3,2
ZFC3H1,2068,179,1130,862,240,234,210,1267,885,1176,1270,1257
THAP2,146,14,84,141,22,35,19,82,83,115,99,106
TMEM19,443,62,302,108,39,37,68,298,255,38,45,51
